label,clean_text
0,看得我尴尬癌都犯了
0,看得我尴尬癌都了
0,看得我尴尬癌都犯了超级
1,这部电影真的很精彩我太喜欢了
1,这部电影真的很精彩我太热爱了
1,这部电影真的很真的精彩我太喜欢了
0,结局强行升华尬
0,结局强行升华尬
0,结局强行升华尬
1,是近期看过最棒的一部
1,是看过最棒的一部
1,是近期看过最棒非常的一部
0,特效简直五毛钱
0,简直五毛钱
0,特效简直五毛钱
0,打斗场面像过家家
0,打斗超级场面像过家家
0,打斗场面像有点
1,台词设计很真实有代入感
1,台词特别设计真实有代入感
1,台词设计很真实代入感
1,是一部合格的商业片
1,是一部合格的真的商业片
1,是一部合格的商业片
1,演员阵容豪华表现可圈可点
1,演员阵容豪华表现可圈可点
1,演员阵容豪华表现可圈可点
0,女主的表演像念台词
0,女主的表演像念超级台词
0,女主超级的表演像念台词
1,男主角太帅了太圈粉了
1,真的男主角太帅了太圈粉了
1,男主角太帅了太圈粉了
0,这是我今年看过最差的电影
0,这是我今年看过非常最差影片
0,这是我今年看过最差的影片
0,看了一半就想退场
0,看了一半就特别想退场
0,看了一半就想退场
1,配乐和画面都很棒非常享受
1,配乐和画面都很棒非常享受
1,配乐和画面都很棒非常享受
1,让我反思了很多太震撼了
1,让我反思了有点太震撼了
1,让我反思了很多太震撼了
1,男女主互动太甜了嗷嗷嗷
1,男女主互动太甜了嗷嗷嗷
1,男女主互动太甜了特别嗷嗷嗷
0,一星都嫌多
0,一星都嫌多真的
0,一星都嫌多
0,特效简直五毛钱
0,特效简直五毛钱超级
0,特效简直有点五毛钱
0,剧情硬伤太多
0,剧情硬伤太非常多
0,剧情硬伤太多
1,节奏明快毫无尿点
1,节奏非常明快毫无尿点
1,节奏明快毫无尿点
0,一星都嫌多
0,一星真的都
0,都嫌多
0,结局强行升华尬
0,特别结局强行升华尬
0,结局强行升华
0,槽点太多说不过来
0,槽点太多说不过来
0,槽点太多说不过来有点
1,是一部合格的商业片
1,是一部合格的商业片有点
1,是一部合格的特别商业片
0,演员演技太尴尬了
0,演员演技太尴尬了
0,演员演技太尴尬了
0,剧情毫无逻辑看得我头疼
0,故事毫无逻辑看得我头疼
0,故事毫无非常逻辑看得我头疼
1,情绪递进自然很有感染力
1,情绪递进非常自然很有感染力
1,情绪递进自然很有感染力
1,男主角太帅了太圈粉了
1,男主角太帅了太圈粉非常了
1,男主角了太圈粉了
1,值回票价五星好评
1,值回票价五星好评
1,非常值回票价五星好评
0,看得我尴尬癌都犯了
0,看得非常我尴尬癌都犯了
0,看得我尴尬癌都犯了
0,节奏拖沓看得想睡觉
0,节奏拖沓看得睡觉
0,拖沓看得想睡觉
0,这不是烂片是什么
0,这不是烂片是有点什么
0,这不是烂片是超级
0,感觉像在看ppt毫无张力
0,感觉像在看ppt毫无张力
0,感觉像在ppt毫无张力
1,节奏明快毫无尿点
1,有点节奏明快毫无尿点
1,节奏明快毫无尿点
0,浪费时间不推荐
0,浪费时间不推荐超级
0,浪费时间不推荐
0,剧情硬伤太多
0,真的情节硬伤太多
0,剧情硬伤太多
0,这是我今年看过最差的电影
0,是我今年看过最差真的的电影
0,这是我今年看过最差的电影特别
0,这电影真的烂到无语
0,这电影真的烂到无语
0,这影片真的烂到无语
1,是近期看过最棒的一部
1,是近期看过最棒的一部超级
1,是近期看过最棒的一部
1,结局很惊喜完全猜不到
1,结局超级很惊喜完全猜不到
1,结局很惊喜完全猜不到
0,全程毫无波澜
0,全程毫无波澜
0,全程毫无波澜非常
0,节奏拖沓看得想睡觉
0,节奏拖沓看得想睡觉
0,节奏拖沓真的看得想睡觉
1,感动得流泪非常走心
1,超级感动得流泪非常
1,得真的流泪非常走心
0,看完感觉智商被侮辱
0,看完感觉超级智商被侮辱
0,看完感觉智商被侮辱
1,情节紧凑没有一丝拖沓
1,情节特别紧凑没有一丝拖沓
1,情节紧凑没有一丝拖沓
0,全程毫无波澜
0,全程毫无波澜
0,毫无波澜
1,情节紧凑没有一丝拖沓
1,情节紧凑没有特别一丝拖沓
1,情节紧凑没有一丝拖沓
1,细节处理得很到位
1,细节处理得很到位
1,细节真的处理得很到位
1,这片子真的太燃了推荐
1,这片子真的太燃了推荐
1,这片子有点真的太燃了推荐
1,值得一看会推荐给朋友
1,特别值得一看会推荐给朋友
1,值得一看会推荐朋友
0,看了一半就想退场
0,看了一半就想退场
0,看了一半就想退场
0,打斗场面像过家家
0,打斗像过家家
0,特别打斗场面像过家家
1,情绪递进自然很有感染力
1,情绪真的自然很有感染力
1,情绪递进自然非常很有感染力
0,台词浮夸表演僵硬
0,浮夸表演僵硬
0,台词表演僵硬有点
0,感觉像在看ppt毫无张力
0,感觉像在看ppt毫无张力
0,有点感觉像在看ppt毫无张力
0,节奏崩坏一点不流畅
0,节奏崩坏一点不流畅
0,节奏崩坏一点不流畅真的
0,这电影真的烂到无语
0,这片子真的烂到真的无语
0,这片子真的烂到无语
0,全是套路看得太难受
0,全是套路看得太难受
0,全是套路看得太难受
1,台词设计很真实有代入感
1,台词设计很真实有代入感
1,台词设计很真实有代入感超级
1,是一部制作精良的好片
1,真的是一部制作精良好片
1,是一部制作精良的好片
0,剧情毫无逻辑看得我头疼
0,特别剧情毫无逻辑看得我头疼
0,剧情毫无逻辑看得我头疼
1,演员阵容豪华表现可圈可点
1,演员阵容豪华非常表现可圈可点
1,演员阵容豪华表现可圈可点
1,剧情设置巧妙令人拍案叫绝
1,剧情设置巧妙令人拍案叫绝有点
1,剧情设置巧妙真的令人拍案叫绝
1,男女主互动太甜了嗷嗷嗷
1,男女主互动太甜有点了嗷嗷嗷
1,男女主互动太甜了嗷嗷嗷超级
1,细节处理得很到位
1,细节处理得很非常到位
1,细节处理得很
1,这部电影真的很精彩我太喜欢了
1,这部电影真的很精彩我太喜爱了
1,这部电影特别真的很精彩我太喜欢了
1,导演功力深厚节奏拿捏得当
1,导演功力深厚节奏拿捏特别得当
1,导演功力深厚节奏拿捏得当
0,剧情发展太生硬
0,故事发展太生硬
0,剧情发展太生硬
1,剧情设置巧妙令人拍案叫绝
1,故事设置巧妙令人拍案叫绝
1,故事设置巧妙令人
1,感动得流泪非常走心
1,感动流泪非常走心特别
1,感动特别得流泪非常走心
0,看完感觉智商被侮辱
0,看完特别感觉智商被侮辱
0,完感觉非常智商被侮辱
0,这不是烂片是什么
0,这不是烂片是什么
0,这不是烂片是什么
0,设定太老套了一点新意都没有
0,设定太老套了一点新意都没有
0,设定太老套了一点新意都超级
1,配乐和画面都很棒非常享受
1,配乐和画面都很棒非常享受有点
1,配乐和都很棒非常享受有点
1,值回票价五星好评
1,非常值回票价五星好评
1,值回票价五星好评
0,浪费时间不推荐
0,浪费时间不推荐
0,浪费时间不推荐
0,槽点太多说不过来
0,槽点太多真的说不过来
0,槽点太多说不过来
1,摄影太美了像一幅画
1,摄影太美了像一幅
1,特别太美了像一幅画
0,全是套路看得太难受
0,全是套路看得太难受
0,全是套路看得太难受
1,摄影太美了像一幅画
1,摄影超级太美像一幅画
1,摄影了像特别一幅画
1,笑点密集全场笑声不断
1,笑点密集真的全场笑声不断
1,笑点密集全场不断
0,女主的表演像念台词
0,女主的像念台词真的
0,特别女主的表演像念台词
1,让我反思了很多太震撼了
1,让我反思了很多太震撼了
1,让我反思了很多超级太震撼了
0,角色动机莫名其妙
0,角色动机莫名其妙
0,角色动机莫名其妙真的
1,值得一看会推荐给朋友
1,值得一看会推荐给朋友
1,值得一看会推荐给朋友
0,台词浮夸表演僵硬
0,台词浮夸表演僵硬特别
0,台词浮夸表演僵硬
1,影片传达了深刻的主题
1,影片传达了深刻的主题
1,影片了深刻的主题
1,是一部制作精良的好片
1,是一部精良的好片
1,是一部制作精良的好片特别
0,节奏崩坏一点不流畅
0,节奏崩坏一点不流畅
0,节奏崩坏一点不流畅
1,笑点密集全场笑声不断
1,笑点密集笑声不断
1,笑点密集全场笑声有点不断
1,演员演技在线剧情引人入胜
1,演员演技在线超级故事引人入胜
1,演员有点演技在线剧情引人入胜
0,设定太老套了一点新意都没有
0,设定太老套了一点有点新意都没有
0,设定太老套了一点新意真的都没有
0,角色动机莫名其妙
0,角色动机莫名其妙真的
0,角色动机莫名其妙
1,导演功力深厚节奏拿捏得当
1,导演功力深厚节奏拿捏得当
1,导演功力深厚节奏拿捏得当
0,剧情发展太生硬
0,剧情发展太生硬
0,真的剧情发展太
1,影片传达了深刻的主题
1,传达了深刻的主题有点
1,影片超级传达了深刻的主题
1,这片子真的太燃了推荐
1,这片子真的太燃了超级推荐
1,这片子真的太燃特别了推荐
1,结局很惊喜完全猜不到
1,结局很惊喜完全猜不到
1,结局很惊喜有点完全猜不到
0,演员演技太尴尬了
0,演员演技太尴尬了超级
0,表演者演技太尴尬了
1,演员演技在线剧情引人入胜
1,表演者演技在线故事引人入胜
1,主角演技在线情节引人入胜
